Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,210.899994,217.000000,208.350006,216.199997,216.199997,11026676
2021-04-05,214.949997,215.000000,203.000000,206.250000,206.250000,13462130
2021-04-06,210.000000,213.399994,206.649994,212.100006,212.100006,15440146
2021-04-07,212.000000,217.899994,210.000000,216.199997,216.199997,14081437
2021-04-08,217.750000,218.699997,212.399994,213.250000,213.250000,11379973
2021-04-09,212.000000,215.600006,209.000000,211.050003,211.050003,8170548
2021-04-12,205.000000,205.800003,183.000000,188.649994,188.649994,41805861
2021-04-13,191.399994,195.300003,186.649994,193.649994,193.649994,22156872
2021-04-15,192.300003,197.500000,184.199997,189.699997,189.699997,20657818
2021-04-16,190.500000,192.000000,187.000000,187.750000,187.750000,13085937
2021-04-19,180.000000,181.000000,173.300003,175.600006,175.600006,25127670
2021-04-20,179.000000,179.949997,172.600006,174.550003,174.550003,17558354
2021-04-22,170.000000,177.250000,169.649994,176.350006,176.350006,16257595
2021-04-23,175.750000,182.500000,173.750000,178.199997,178.199997,20997883
2021-04-26,181.800003,185.199997,179.699997,184.199997,184.199997,12901261
2021-04-27,184.149994,187.000000,182.800003,186.550003,186.550003,11361945
2021-04-28,187.550003,194.800003,186.699997,193.649994,193.649994,17807483
2021-04-29,195.949997,196.550003,188.500000,190.300003,190.300003,20228144
2021-04-30,187.000000,191.449997,184.699997,185.750000,185.750000,18067172
2021-05-03,183.600006,186.199997,177.750000,181.199997,181.199997,21142228
2021-05-04,184.000000,188.500000,180.000000,181.750000,181.750000,28894273
2021-05-05,180.250000,186.899994,180.250000,184.199997,184.199997,21027159
2021-05-06,184.500000,186.000000,181.350006,185.000000,185.000000,10939853
2021-05-07,185.100006,188.500000,184.550003,186.300003,186.300003,12915146
2021-05-10,188.899994,192.000000,186.449997,187.550003,187.550003,14240635
2021-05-11,184.949997,187.800003,183.500000,186.199997,186.199997,10201378
2021-05-12,186.000000,190.199997,185.199997,187.850006,187.850006,12877317
2021-05-14,190.000000,191.600006,186.300003,187.699997,187.699997,11738210
2021-05-17,190.399994,198.000000,188.050003,197.000000,197.000000,19295119
2021-05-18,201.000000,202.949997,198.300003,199.199997,199.199997,19675919
2021-05-19,199.000000,201.899994,196.050003,199.949997,199.949997,10748972
2021-05-20,201.000000,207.850006,200.350006,204.250000,204.250000,19971105
2021-05-21,207.000000,209.000000,205.149994,207.699997,207.699997,11336046
2021-05-24,210.000000,212.000000,205.850006,210.000000,210.000000,9637361
2021-05-25,211.500000,211.750000,205.050003,206.100006,206.100006,9106739
2021-05-26,206.500000,209.500000,203.500000,207.850006,207.850006,9901690
2021-05-27,209.550003,212.000000,206.350006,211.050003,211.050003,10115145
2021-05-28,212.100006,217.300003,211.300003,216.250000,216.250000,14369947
2021-05-31,216.199997,216.399994,212.800003,214.199997,214.199997,7126476
2021-06-01,215.100006,216.300003,210.050003,211.300003,211.300003,6900865
2021-06-02,211.000000,222.500000,210.000000,221.149994,221.149994,15709637
2021-06-03,223.699997,223.699997,217.500000,218.850006,218.850006,12324051
2021-06-04,218.649994,220.350006,211.250000,214.750000,214.750000,20338093
2021-06-07,216.000000,220.399994,215.100006,216.699997,216.699997,10781248
2021-06-08,218.000000,218.899994,213.050003,216.449997,216.449997,9996458
2021-06-09,216.500000,220.250000,212.000000,213.750000,213.750000,11414321
2021-06-10,215.449997,219.449997,214.050003,218.350006,218.350006,8268089
2021-06-11,219.699997,222.000000,216.800003,218.250000,218.250000,7818261
2021-06-14,218.250000,218.350006,213.000000,216.600006,216.600006,10330382
2021-06-15,218.100006,223.350006,217.649994,219.550003,219.550003,9108491
2021-06-16,219.800003,220.000000,215.100006,215.800003,215.800003,6010963
2021-06-17,214.000000,216.000000,209.000000,209.699997,209.699997,7694684
2021-06-18,211.100006,211.350006,201.300003,206.750000,206.750000,12411452
2021-06-21,202.000000,212.899994,201.100006,212.000000,212.000000,8986635
2021-06-22,214.000000,214.750000,209.399994,210.100006,210.100006,6401593
2021-06-23,211.750000,211.800003,208.000000,208.350006,208.350006,6462646
2021-06-24,209.300003,209.800003,206.699997,207.449997,207.449997,6081528
2021-06-25,209.000000,213.800003,208.100006,212.250000,212.250000,9592175
2021-06-28,213.199997,218.000000,211.649994,214.699997,214.699997,6942926
2021-06-29,215.500000,216.100006,210.699997,211.850006,211.850006,5266622
2021-06-30,212.000000,213.850006,210.000000,210.500000,210.500000,4255779
2021-07-01,211.600006,211.850006,209.250000,209.850006,209.850006,3906454
2021-07-02,210.949997,212.850006,209.500000,210.899994,210.899994,4359443
2021-07-05,211.500000,214.149994,211.149994,213.850006,213.850006,4289581
2021-07-06,213.850006,214.800003,212.050003,213.350006,213.350006,5626257
2021-07-07,214.899994,224.649994,211.649994,223.399994,223.399994,29091948
2021-07-08,223.750000,226.399994,215.100006,215.750000,215.750000,14300383
